"filename", "language", "Log", "JSON", "C#", "ShaderLab", "HLSL", "XML", "comment", "blank", "total"
"d:\Programowanie\Unity\SimpleRougelike\Assembly-CSharp.csproj", "XML", 0, 0, 0, 0, 0, 855, 7, 1, 863
"d:\Programowanie\Unity\SimpleRougelike\Assets\CustomEventManager.cs", "C#", 0, 0, 46, 0, 0, 0, 0, 9, 55
"d:\Programowanie\Unity\SimpleRougelike\Assets\DungeonManager.cs", "C#", 0, 0, 50, 0, 0, 0, 8, 8, 66
"d:\Programowanie\Unity\SimpleRougelike\Assets\HeroDataController.cs", "C#", 0, 0, 161, 0, 0, 0, 19, 29, 209
"d:\Programowanie\Unity\SimpleRougelike\Assets\HeroLoadCard.cs", "C#", 0, 0, 75, 0, 0, 0, 1, 17, 93
"d:\Programowanie\Unity\SimpleRougelike\Assets\SaveDataTypes\PlayerProgressModel.cs", "C#", 0, 0, 42, 0, 0, 0, 10, 11, 63
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\AStar\Heap.cs", "C#", 0, 0, 85, 0, 0, 0, 0, 19, 104
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\AStar\Node.cs", "C#", 0, 0, 40, 0, 0, 0, 0, 4, 44
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\AStar\NodeGrid.cs", "C#", 0, 0, 69, 0, 0, 0, 2, 13, 84
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\AStar\Pathfinding.cs", "C#", 0, 0, 87, 0, 0, 0, 10, 21, 118
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Bomb_Cell.cs", "C#", 0, 0, 226, 0, 0, 0, 39, 27, 292
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\CellScript.cs", "C#", 0, 0, 231, 0, 0, 0, 2, 28, 261
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Data_ScriptableObject\BombData.cs", "C#", 0, 0, 78, 0, 0, 0, 24, 13, 115
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Data_ScriptableObject\MonsterData.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 4, 22
