Date : 2021-10-02 18:00:44
Directory : d:\Programowanie\Unity\SimpleRougelike
Total : 107 files,  22695 codes, 733 comments, 2487 blanks, all 25915 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| Log       |         12 |     11,675 |          0 |        554 |     12,229 |
| C#        |         74 |      7,150 |        644 |      1,284 |      9,078 |
| ShaderLab |         13 |      2,015 |         61 |        557 |      2,633 |
| XML       |          1 |        870 |          7 |          1 |        878 |
| JSON      |          3 |        662 |          0 |          4 |        666 |
| HLSL      |          4 |        323 |         21 |         87 |        431 |
+-----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        107 |     22,695 |        733 |      2,487 |     25,915 |
| Assets                                                                                                   |         92 |      9,643 |        726 |      1,930 |     12,299 |
| Assets\SaveDataTypes                                                                                     |          1 |         54 |         10 |         14 |         78 |
| Assets\Scripts                                                                                           |         59 |      5,828 |        567 |      1,009 |      7,404 |
| Assets\Scripts\AStar                                                                                     |          4 |        279 |         14 |         57 |        350 |
| Assets\Scripts\CellsVariant                                                                              |         18 |      1,271 |        104 |        228 |      1,603 |
| Assets\Scripts\CellsVariant\Data_ScriptableObject                                                        |          3 |        139 |         25 |         25 |        189 |
| Assets\Scripts\CellsVariant\Interfaces                                                                   |          8 |         76 |          2 |         18 |         96 |
| Assets\Scripts\Item Scripts                                                                              |          5 |        184 |          0 |         25 |        209 |
| Assets\Scripts\Skills                                                                                    |          8 |        408 |         72 |         86 |        566 |
| Assets\Scripts\Skills\SkillScripts                                                                       |          4 |         70 |          0 |         14 |         84 |
| Assets\Scripts\Skills\SkillSelection                                                                     |          3 |        288 |         19 |         54 |        361 |
| Assets\Scripts\UiScripts                                                                                 |         15 |      1,473 |        184 |        272 |      1,929 |
| Assets\TextMesh Pro                                                                                      |         18 |      2,493 |         82 |        646 |      3,221 |
| Assets\TextMesh Pro\Shaders                                                                              |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets\TextMesh Pro\Sprites                                                                              |          1 |        155 |          0 |          2 |        157 |
| Assets\enums                                                                                             |          4 |         46 |          0 |          4 |         50 |
| Logs                                                                                                     |         12 |     11,675 |          0 |        554 |     12,229 |
| Packages                                                                                                 |          2 |        507 |          0 |          2 |        509 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                                 | language  | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| d:\Programowanie\Unity\SimpleRougelike\Assembly-CSharp.csproj                                            | XML       |        870 |          7 |          1 |        878 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\AnimationsEventsScript.cs                                  | C#        |         21 |          2 |          7 |         30 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\CustomEventManager.cs                                      | C#        |         75 |          5 |         15 |         95 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\DungeonManager.cs                                          | C#        |        377 |         21 |         74 |        472 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\DungeonRoomScript.cs                                       | C#        |        394 |         17 |         87 |        498 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\DungeonWindowScript.cs                                     | C#        |         11 |          0 |          3 |         14 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\FloatingDamageText.cs                                      | C#        |         42 |          0 |          9 |         51 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\HeroDataController.cs                                      | C#        |        164 |         21 |         31 |        216 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\HeroLoadCard.cs                                            | C#        |         75 |          1 |         17 |         93 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\SaveDataTypes\PlayerProgressModel.cs                       | C#        |         54 |         10 |         14 |         78 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\AStar\Heap.cs                                      | C#        |         85 |          0 |         19 |        104 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\AStar\Node.cs                                      | C#        |         40 |          0 |          4 |         44 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\AStar\NodeGrid.cs                                  | C#        |         67 |          4 |         13 |         84 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\AStar\Pathfinding.cs                               | C#        |         87 |         10 |         21 |        118 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Bomb_Cell.cs                          | C#        |        227 |         12 |         31 |        270 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\CellScript.cs                         | C#        |        246 |         15 |         33 |        294 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Data_ScriptableObject\BombData.cs     | C#        |         78 |         24 |         13 |        115 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Data_ScriptableObject\MonsterData.cs  | C#        |         19 |          0 |          2 |         21 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Data_ScriptableObject\TreasureData.cs | C#        |         42 |          1 |         10 |         53 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\IChest.cs                  | C#        |         10 |          0 |          2 |         12 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\ICreature.cs               | C#        |         13 |          0 |          1 |         14 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\IFragile.cs                | C#        |          5 |          0 |          1 |          6 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\ILivingThing.cs            | C#        |         10 |          0 |          4 |         14 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\ISelectable.cs             | C#        |          7 |          1 |          5 |         13 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\ISpecialTile.cs            | C#        |         13 |          0 |          1 |         14 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\IUsable.cs                 | C#        |          9 |          1 |          2 |         12 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\IValuable.cs               | C#        |          9 |          0 |          2 |         11 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\MonsterBackupData.cs                  | C#        |         21 |          0 |          3 |         24 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Monster_Cell.cs                       | C#        |        239 |         15 |         46 |        300 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Obstacle_Cell.cs                      | C#        |         39 |          3 |         14 |         56 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Player_Cell.cs                        | C#        |        150 |         16 |         33 |        199 |
